번호,정책번호,분류,정책명,내용길이,정책내용,요약,input,output
1,20250219005400210463,일자리,충북 청년여성 일자리 플랫폼 운영,330,"취·창업지원, 전문교육, 멘토링, 커뮤니티 공간 제공 등",충북 청년여성을 위한 취·창업 지원 및 커뮤니티 공간(청춘잡담) 운영,"정책명: 충북 청년여성 일자리 플랫폼 운영
내용: 취·창업지원, 전문교육, 멘토링, 커뮤니티 공간 제공 등",충북 청년여성을 위한 취·창업 지원 및 커뮤니티 공간(청춘잡담) 운영
2,20240418005400200037,일자리,"아동복지시설, 가정위탁보호종료아동 자립정착금 지원",284,"만18세 이후 보호종료 아동 대상 자립정착금 1,500만원 지원","보호종료 아동에게 2년간 1,500만원의 자립정착금 분할 지급","정책명: 아동복지시설, 가정위탁보호종료아동 자립정착금 지원
내용: 만18세 이후 보호종료 아동 대상 자립정착금 1,500만원 지원","보호종료 아동에게 2년간 1,500만원의 자립정착금 분할 지급"
3,20240513005400200015,일자리,2024 경북청년창업지원센터 입주기업 모집(3차),385,"창업공간, 사무실 집기, 임대료 및 관리비 무상 지원",경북 청년 창업가 대상 사무 공간 및 시설 운영비 무상 지원,"정책명: 2024 경북청년창업지원센터 입주기업 모집(3차)
내용: 창업공간, 사무실 집기, 임대료 및 관리비 무상 지원",경북 청년 창업가 대상 사무 공간 및 시설 운영비 무상 지원
4,20240926005400200003,일자리,부산 해운대구 일자리센터 운영,620,"구인 업체 발굴, 취업 상담, 채용박람회 등 일자리 서비스 제공",해운대구 내 9개소 일자리센터 운영 및 맞춤형 취업 상담 지원,"정책명: 부산 해운대구 일자리센터 운영
내용: 구인 업체 발굴, 취업 상담, 채용박람회 등 일자리 서비스 제공",해운대구 내 9개소 일자리센터 운영 및 맞춤형 취업 상담 지원
5,20240422005400200048,"일자리, 교육",미래내일일경험 인턴형 호텔인터불고 참여자 모집,289,"1주 직무교육 후 4~16주 인턴십 수행, 주 35만원 수당 지급",호텔 직무 교육 및 인턴십 기회 제공과 주당 35만원의 수당 지원,"정책명: 미래내일일경험 인턴형 호텔인터불고 참여자 모집
내용: 1주 직무교육 후 4~16주 인턴십 수행, 주 35만원 수당 지급",호텔 직무 교육 및 인턴십 기회 제공과 주당 35만원의 수당 지원
6,20241018005400200003,일자리,경기 양평군 2024년 상생행복일자리사업 참여 근로자 모집,740,수습 후 정규직 전환 시 기업과 근로자에게 지원금 지급,양평군 내 중소기업 취업 청년 등에게 최대 360만원 지원금 지급,"정책명: 경기 양평군 2024년 상생행복일자리사업 참여 근로자 모집
내용: 수습 후 정규직 전환 시 기업과 근로자에게 지원금 지급",양평군 내 중소기업 취업 청년 등에게 최대 360만원 지원금 지급
7,20240830005400200001,일자리,청년창업 컨설팅ㆍ멘토링 지원 참여기업 모집 (파주시),171,기업당 1백만원 규모의 컨설팅 및 멘토링 지원,파주시 청년 창업 기업 대상 맞춤형 컨설팅 및 멘토링 비용 지원,"정책명: 청년창업 컨설팅ㆍ멘토링 지원 참여기업 모집 (파주시)
내용: 기업당 1백만원 규모의 컨설팅 및 멘토링 지원",파주시 청년 창업 기업 대상 맞춤형 컨설팅 및 멘토링 비용 지원
8,20241002005400200006,"일자리, 교육",성남시 2학기 다자녀(셋째 이상)가구 대학생 등록금 지원,291,셋째 이상 대학생 대상 본인부담 등록금 최대 100만원 지원,성남시 다자녀 가구 대학생에게 학기당 최대 100만원 등록금 지원,"정책명: 성남시 2학기 다자녀(셋째 이상)가구 대학생 등록금 지원
내용: 셋째 이상 대학생 대상 본인부담 등록금 최대 100만원 지원",성남시 다자녀 가구 대학생에게 학기당 최대 100만원 등록금 지원
9,20240513005400200010,일자리,울산 취업성공 아카데미 6~9기 모집,278,"팀빌딩, 말하기 기술, ChatGPT 자소서, 진로 로드맵 교육",취업 역량 강화를 위한 테마별 단기 집중 교육 프로그램 운영,"정책명: 울산 취업성공 아카데미 6~9기 모집
내용: 팀빌딩, 말하기 기술, ChatGPT 자소서, 진로 로드맵 교육",취업 역량 강화를 위한 테마별 단기 집중 교육 프로그램 운영
10,20241018005400200005,일자리,2024 서울 마포구 일자리박람회 안내,253,"1:1 채용면접, 취업상담, 취업특강 등 진행",마포구청에서 열리는 현장 채용 면접 및 취업 지원 서비스 행사,"정책명: 2024 서울 마포구 일자리박람회 안내
내용: 1:1 채용면접, 취업상담, 취업특강 등 진행",마포구청에서 열리는 현장 채용 면접 및 취업 지원 서비스 행사
